matchId,squadId,oppSquadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,rebounds,tossUpWin,turnovers
80050601,803,809,80166,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80166,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80167,3,0,1,0,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1
80050601,803,809,80167,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80170,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
80050601,803,809,80170,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80170,3,2,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
80050601,803,809,80170,4,0,1,0,0,0,5,1,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,2
80050601,803,809,80172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80172,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80172,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,803,809,80172,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80029,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80029,3,1,1,0,0,0,7,2,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4
80050601,809,803,80029,4,0,0,0,0,0,10,2,0,0,6,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2
80050601,809,803,80057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80057,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80057,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80057,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
80050601,809,803,80091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80091,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80091,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80091,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80100,1,0,1,0,0,0,4,2,0,0,3,0,3,6,2,4,0,0,0,0,0,2,1,0,0,1
80050601,809,803,80100,2,1,0,0,0,0,7,2,0,0,2,0,2,7,0,7,0,0,1,0,0,3,0,0,0,1
80050601,809,803,80100,3,0,0,0,0,0,1,0,0,0,4,0,3,7,4,3,0,0,0,0,0,0,0,0,0,1
80050601,809,803,80100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80101,1,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,1,0,5,0,0,10,0,1,0,0
80050601,809,803,80101,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0
80050601,809,803,80101,3,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,1,0,0,6,2,1,0,0
80050601,809,803,80101,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0
80050601,809,803,80102,1,0,1,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,1,2,1,0,0,1
80050601,809,803,80102,2,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,1,0,0,2,2,0,0,0
80050601,809,803,80102,3,0,2,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,4,1,0,2
80050601,809,803,80102,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80104,4,0,0,0,0,0,2,0,0,0,1,0,2,11,1,10,0,0,0,0,0,0,1,0,0,0
80050601,809,803,80105,1,0,1,0,0,0,4,2,0,0,6,0,3,0,0,0,0,0,0,0,0,2,1,0,0,3
80050601,809,803,80105,2,0,0,0,0,0,1,1,0,1,4,0,6,0,0,0,0,0,0,0,0,1,1,0,0,2
80050601,809,803,80105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80105,4,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,1,0,0,3
80050601,809,803,80108,1,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,1,0,3,0,0,5,1,0,0,0
80050601,809,803,80108,2,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0
80050601,809,803,80108,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
80050601,809,803,80108,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80109,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0
80050601,809,803,80109,2,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0
80050601,809,803,80109,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
80050601,809,803,80109,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
80050601,809,803,80111,1,0,0,0,0,0,0,1,0,0,0,0,0,9,2,7,0,0,0,0,0,1,2,0,0,0
80050601,809,803,80111,2,0,1,0,0,0,0,0,0,1,0,0,1,13,0,13,0,0,0,0,0,0,0,0,0,1
80050601,809,803,80111,3,0,0,0,0,0,0,3,0,0,0,0,0,7,0,7,0,0,0,1,0,3,0,1,0,1
80050601,809,803,80111,4,0,0,0,0,0,0,0,0,1,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80175,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80050601,809,803,80175,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
