matchId,squadId,playerId,period,periodSeconds,positionCode,scoreName,scorePoints,matchSeconds,homeSquadScore,awaySquadScore,scoreDifferential
111080502,807,1007306,1,14,1,goal,1,14,1,0,1
111080502,806,1001944,1,35,1,goal,1,35,1,1,0
111080502,807,80078,1,84,2,goal,1,84,2,1,1
111080502,807,1007306,1,117,0,goal,1,117,3,1,2
111080502,807,80078,1,155,3,goal,1,155,4,1,3
111080502,806,1001944,1,190,0,goal,1,190,4,2,2
111080502,807,80078,1,276,3,miss,0,276,4,2,2
111080502,806,999128,1,322,1,goal,1,322,4,3,1
111080502,806,1001944,1,343,2,miss,0,343,4,3,1
111080502,806,1001944,1,348,1,goal,1,348,4,4,0
111080502,806,1001944,1,374,1,goal,1,374,4,5,-1
111080502,807,1007306,1,406,1,goal,1,406,5,5,0
111080502,807,80078,1,428,1,goal,1,428,6,5,1
111080502,806,1001944,1,448,0,miss,0,448,6,5,1
111080502,806,999128,1,453,3,goal,1,453,6,6,0
111080502,807,80078,1,478,3,goal,1,478,7,6,1
111080502,806,1001944,1,496,0,goal,1,496,7,7,0
111080502,806,1001944,1,550,2,goal,1,550,7,8,-1
111080502,806,1001944,1,569,0,miss,0,569,7,8,-1
111080502,806,1001944,1,573,3,goal,1,573,7,9,-2
111080502,807,80078,1,586,3,miss,0,586,7,9,-2
111080502,807,80078,1,593,3,goal,1,593,8,9,-1
111080502,807,80078,1,634,3,goal,1,634,9,9,0
111080502,807,80078,1,655,3,goal,1,655,10,9,1
111080502,806,1001944,1,673,1,goal,1,673,10,10,0
111080502,806,1001944,1,696,1,goal,1,696,10,11,-1
111080502,807,1007306,1,731,0,miss,0,731,10,11,-1
111080502,807,80078,1,736,3,goal,1,736,11,11,0
111080502,807,1007306,1,764,0,2pt Goal,2,764,13,11,2
111080502,806,999128,1,790,1,2pt Goal,2,790,13,13,0
111080502,806,999128,1,826,1,2pt Goal,2,826,13,15,-2
111080502,806,1001944,1,843,1,miss,0,843,13,15,-2
111080502,807,80078,1,868,3,goal,1,868,14,15,-1
111080502,807,1007306,1,884,0,2pt Goal,2,884,16,15,1
111080502,806,1001944,1,894,2,goal,1,894,16,16,0
111080502,806,1001944,2,27,1,miss,0,927,16,16,0
111080502,807,80078,2,52,1,goal,1,952,17,16,1
111080502,806,1001944,2,83,0,goal,1,983,17,17,0
111080502,806,999128,2,114,0,miss,0,1014,17,17,0
111080502,806,999128,2,124,1,miss,0,1024,17,17,0
111080502,806,1001944,2,141,3,goal,1,1041,17,18,-1
111080502,807,80078,2,168,1,goal,1,1068,18,18,0
111080502,806,1001944,2,193,2,goal,1,1093,18,19,-1
111080502,806,1001944,2,237,1,goal,1,1137,18,20,-2
111080502,806,1001944,2,261,2,goal,1,1161,18,21,-3
111080502,806,1001944,2,302,0,miss,0,1202,18,21,-3
111080502,806,1001944,2,305,1,goal,1,1205,18,22,-4
111080502,806,999128,2,336,1,goal,1,1236,18,23,-5
111080502,806,1001944,2,377,1,goal,1,1277,18,24,-6
111080502,806,1001944,2,390,2,goal,1,1290,18,25,-7
111080502,807,1007306,2,435,0,goal,1,1335,19,25,-6
111080502,806,999128,2,468,1,miss,0,1368,19,25,-6
